,manufact,sales,resale_mv,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg
0,28.67475,16.919,16.36,0,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28
1,28.67475,39.384,19.875,0,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25
2,28.67475,14.114,18.225,0,22.799,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26
3,28.67475,8.588,29.725,0,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22
4,39.98,20.397,22.255,0,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27
5,39.98,18.78,23.555,0,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22
6,39.98,1.38,39.0,0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21
7,33.09666666666666,19.747,15.79,0,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26
8,33.09666666666666,9.231,28.675,0,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24
9,33.09666666666666,17.527,36.125,0,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25
10,26.78125,91.561,12.475,0,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25
11,26.78125,39.35,13.74,0,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23
12,26.78125,27.851,20.19,0,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24
13,26.78125,83.257,13.36,0,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25
14,40.254,63.729,22.525,0,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22
15,40.254,15.943,27.1,0,44.475,4.6,275.0,112.2,75.0,201.0,3.378025806451613,18.5,22
16,40.254,6.536,25.725,0,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22
17,40.254,11.185,18.225,0,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22
18,40.254,14.785,20.26333333333333,1,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15
19,20.02277777777778,145.519,9.25,0,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27
20,20.02277777777778,135.126,11.225,0,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25
21,20.02277777777778,24.629,10.31,0,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25
22,20.02277777777778,42.593,11.525,0,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27
23,20.02277777777778,26.402,13.025,0,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25
24,20.02277777777778,17.947,36.225,0,45.705,5.7,325.7499999999996,104.5,73.6,179.7,3.21,19.1,22
25,20.02277777777778,32.299,9.125,0,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33
26,20.02277777777778,21.855,6.72075,0,9.235,1.555,96.4,93.1,62.6,149.4,1.895,11.9,33
27,20.02277777777778,107.995,11.75333333333334,0,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27
28,23.43083333333334,7.854,12.36,0,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24
29,23.43083333333334,32.775,14.18,0,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24
30,23.43083333333334,31.148,13.725,0,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26
31,23.43083333333334,32.306,12.64,0,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27
32,23.43083333333334,13.462,17.325,0,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23
33,23.43083333333334,30.696,16.985,0,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23
34,24.21363636363636,76.034,7.75,0,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29
35,24.21363636363636,4.734,12.545,0,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24
36,24.21363636363636,71.186,10.185,0,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24
37,24.21363636363636,88.028,12.275,0,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24
38,24.21363636363636,0.9369,58.47,0,69.725,5.7,325.7499999999996,96.2,75.7,176.7,3.375,19.0,16
39,24.21363636363636,227.061,15.06,1,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17
40,24.21363636363636,16.767,15.51,1,21.315,3.9,175.0,109.6,78.8,192.6,4.245,30.89999999999998,15
41,24.21363636363636,31.038,13.425,1,18.575,3.9,175.0,127.2,78.8,208.5,4.298,30.89999999999998,16
42,24.21363636363636,111.313,11.26,1,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19
43,24.21363636363636,101.323,19.26333333333333,1,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17
44,24.21363636363636,181.749,12.025,1,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24
45,21.04727272727273,70.227,7.425,0,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30
46,21.04727272727273,113.369,12.76,0,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24
47,21.04727272727273,35.068,8.835,0,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25
48,21.04727272727273,245.815,10.055,0,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24
49,21.04727272727273,175.67,8.533333333333333,0,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30
50,21.04727272727273,63.403,14.21,0,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21
51,21.04727272727273,260.9328499999997,16.64,1,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19
52,21.04727272727273,155.787,13.175,1,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21
53,21.04727272727273,125.338,23.575,1,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16
54,21.04727272727273,220.65,7.85,1,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23
55,21.04727272727273,260.9328499999997,15.075,1,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18
56,20.277,199.685,9.85,0,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32
57,20.277,230.902,13.21,0,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27
58,20.277,73.203,17.71,1,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24
59,20.277,12.855,17.525,1,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19
60,20.277,76.029,19.49,1,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23
61,12.16566666666667,41.184,6.72075,0,9.699,1.555,96.4,96.1,65.7,166.7,2.24,11.9,31
62,12.16566666666667,66.692,7.825,0,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27
63,12.16566666666667,29.45,8.91,0,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25
64,29.04583333333333,23.713,19.69,0,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25
65,29.04583333333333,15.467,25.84833333333333,0,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21
66,20.99166666666667,55.557,13.475,1,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17
67,20.99166666666667,80.556,13.775,1,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20
68,20.99166666666667,157.04,18.81,1,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19
69,44.055,24.072,26.975,0,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23
70,44.055,12.698,32.075,0,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23
71,44.055,3.334,46.66666666666666,0,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21
72,44.055,6.375,40.375,0,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22
73,44.055,9.126,32.41833333333333,1,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15
74,44.055,51.238,29.46666666666667,1,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21
75,41.69,13.798,20.525,0,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22
76,41.69,48.911,21.725,0,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21
77,41.69,22.925,35.49166666666667,1,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15
78,22.16742857142857,26.232,8.325,0,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30
79,22.16742857142857,42.541,10.395,0,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24
80,22.16742857142857,55.616,10.595,0,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25
81,22.16742857142857,5.711,16.575,0,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22
82,22.16742857142857,0.9369,20.94,0,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21
83,22.16742857142857,11.337,19.125,1,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18
84,22.16742857142857,39.348,13.88,1,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20
85,20.74833333333333,14.351,8.8,0,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28
86,20.74833333333333,26.529,13.89,0,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30
87,20.74833333333333,67.956,11.03,0,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24
88,20.74833333333333,81.174,14.875,0,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21
89,20.74833333333333,27.609,20.43,1,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18
90,20.74833333333333,20.38,14.795,1,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21
91,52.91666666666666,18.392,26.05,0,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26
92,52.91666666666666,27.602,41.45,0,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25
93,52.91666666666666,16.774,50.375,0,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21
94,52.91666666666666,3.311,58.6,0,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20
95,52.91666666666666,7.998,28.24166666666666,0,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26
96,52.91666666666666,1.526,27.36666666666666,0,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27
97,52.91666666666666,11.592,30.9,0,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26
98,52.91666666666666,0.954,61.35999999999998,0,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20
99,52.91666666666666,28.976,28.28833333333334,1,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20
100,22.36071428571429,42.643,8.45,0,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30
101,22.36071428571429,88.094,11.295,0,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25
102,22.36071428571429,79.853,15.125,0,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25
103,22.36071428571429,27.308,15.38,1,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21
104,22.36071428571429,42.574,17.81,1,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19
105,22.36071428571429,54.158,14.285,1,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18
106,22.36071428571429,65.005,10.08166666666667,1,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18
107,25.62283333333333,1.112,11.24,0,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25
108,25.62283333333333,38.554,18.06833333333333,0,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,24
109,25.62283333333333,80.255,11.76333333333333,0,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27
110,25.62283333333333,14.69,19.89,0,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22
111,25.62283333333333,20.017,19.925,1,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19
112,25.62283333333333,24.361,15.24,1,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22
113,22.6425,32.734,7.75,0,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29
114,22.6425,5.24,9.8,0,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27
115,22.6425,24.155,12.025,1,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24
116,22.6425,1.872,20.26333333333333,0,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21
117,22.94916666666667,51.645,13.79,0,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27
118,22.94916666666667,131.097,10.29,0,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25
119,22.94916666666667,19.911,17.805,0,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25
120,22.94916666666667,92.364,14.01,0,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25
121,22.94916666666667,35.945,13.225,0,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24
122,22.94916666666667,39.572,18.355,1,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23
123,62.47333333333334,8.982,41.25,0,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22
124,62.47333333333334,1.28,60.625,0,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21
125,62.47333333333334,1.866,61.35999999999998,0,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23
126,29.04583333333333,9.191,15.79,0,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23
127,29.04583333333333,12.115,18.355,0,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23
128,14.271,80.62,9.2,0,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33
129,14.271,24.546,10.59,0,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33
130,14.271,5.223,10.79,0,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31
131,14.271,8.472,15.005,0,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27
132,14.271,49.989,12.16,0,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28
133,29.04583333333333,47.107,12.24166666666667,0,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25
134,29.04583333333333,33.028,11.69666666666667,1,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24
135,21.98288888888889,142.535,10.025,0,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33
136,21.98288888888889,247.994,13.245,0,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27
137,21.98288888888889,63.849,18.14,0,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26
138,21.98288888888889,33.269,15.445,0,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31
139,21.98288888888889,84.087,9.575,1,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23
140,21.98288888888889,65.119,13.515,1,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22
141,21.98288888888889,25.106,13.325,1,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27
142,21.98288888888889,68.411,19.425,1,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23
143,21.98288888888889,9.835,34.08,1,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15
144,17.69833333333333,9.761,11.425,0,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26
145,17.69833333333333,83.721,13.24,0,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26
146,17.69833333333333,51.102,16.725,0,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27
147,17.69833333333333,9.569,16.575,0,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26
148,17.69833333333333,5.596,13.76,0,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26
149,17.69833333333333,49.463,12.80833333333333,0,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26
150,30.93333333333333,16.957,15.28166666666667,0,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25
151,30.93333333333333,3.545,15.28166666666667,0,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25
152,30.93333333333333,15.245,15.79,0,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25
153,30.93333333333333,17.531,15.79,0,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25
154,30.93333333333333,3.493,29.91,0,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23
155,30.93333333333333,18.969,20.30166666666666,0,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24
